Relatório de campanha
1 de março de 2026 - 31 de março de 2026
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Status,Motivos do status,Pontuação de otimização,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.,Tipo de estratégia de lances,Taxa de conv.
2026-02-23,Ativada,[PMAX]_sorento,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,Maximizar as conversões,"0,00%"
2026-03-02,Ativada,[PMAX]_sorento,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,Maximizar as conversões,"0,00%"
2026-03-09,Ativada,[PMAX]_sorento,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"65,35","0,37","35,09","1,86",3.049,178,"21,43","5,84%",177,"0,37",Maximizar as conversões,"19,71%"
2026-03-16,Ativada,[PMAX]_sorento,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"89,06","0,24","40,01","2,23",6.064,370,"14,69","6,10%",318,"0,28",Maximizar as conversões,"10,81%"
2026-03-23,Ativada,[PMAX]_sorento,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"69,22","0,30","43,95","1,57",1.912,234,"36,20","12,24%",153,"0,45",Maximizar as conversões,"18,78%"
2026-03-30,Ativada,[PMAX]_sorento,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"22,42","0,40","23,97","0,94",654,56,"34,28","8,56%",52,"0,43",Maximizar as conversões,"42,80%"
2026-02-23,Ativada,[PMAX]_carnival,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Performance Max,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,Maximizar as conversões,"0,00%"
2026-03-02,Ativada,[PMAX]_carnival,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Performance Max,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0,Maximizar as conversões,"0,00%"
2026-03-09,Ativada,[PMAX]_carnival,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Performance Max,BRL,"58,45","0,25","35,97","1,62",4.509,235,"12,96","5,21%",222,"0,26",Maximizar as conversões,"15,31%"
2026-03-16,Ativada,[PMAX]_carnival,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Performance Max,BRL,"101,27","0,26","51,98","1,95",3.747,394,"27,03","10,52%",278,"0,36",Maximizar as conversões,"13,19%"
2026-03-23,Ativada,[PMAX]_carnival,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Performance Max,BRL,"70,32","0,15","55,06","1,28",3.999,475,"17,58","11,88%",326,"0,22",Maximizar as conversões,"11,59%"
2026-03-30,Ativada,[PMAX]_carnival,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Performance Max,BRL,"15,67","0,09","11,00","1,42",1.556,182,"10,07","11,70%",108,"0,15",Maximizar as conversões,"6,04%"
2026-02-23,Ativada,[PMAX]_sportage,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Performance Max,BRL,"30,04","0,09","11,00","2,73",3.940,330,"7,63","8,38%",194,"0,15",Maximizar as conversões,"3,33%"
2026-03-02,Ativada,[PMAX]_sportage,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Performance Max,BRL,"102,76","0,08","72,97","1,41",16.033,1.348,"6,41","8,41%",854,"0,12",Maximizar as conversões,"5,41%"
2026-03-09,Ativada,[PMAX]_sportage,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Performance Max,BRL,"103,20","0,06","45,60","2,26",15.272,1.592,"6,76","10,42%",833,"0,12",Maximizar as conversões,"2,86%"
2026-03-16,Ativada,[PMAX]_sportage,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Performance Max,BRL,"89,93","0,08","59,34","1,52",11.981,1.170,"7,51","9,77%",756,"0,12",Maximizar as conversões,"5,07%"
2026-03-23,Ativada,[PMAX]_sportage,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Performance Max,BRL,"72,24","0,08","24,78","2,92",9.501,913,"7,60","9,61%",576,"0,13",Maximizar as conversões,"2,71%"
2026-03-30,Ativada,[PMAX]_sportage,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"100,00",Performance Max,BRL,"18,54","0,09","12,49","1,48",2.457,216,"7,55","8,79%",165,"0,11",Maximizar as conversões,"5,78%"
2026-02-23,Ativada,[PMAX]_bongo,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"28,13","0,11","8,50","3,31",6.150,251,"4,57","4,08%",173,"0,16",Maximizar as conversões,"3,39%"
2026-03-02,Ativada,[PMAX]_bongo,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"100,14","0,13","44,04","2,27",23.634,792,"4,24","3,35%",608,"0,16",Maximizar as conversões,"5,56%"
2026-03-09,Ativada,[PMAX]_bongo,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"106,36","0,13","67,00","1,59",38.660,830,"2,75","2,15%",742,"0,14",Maximizar as conversões,"8,07%"
2026-03-16,Ativada,[PMAX]_bongo,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"91,00","0,10","56,01","1,62",58.602,919,"1,55","1,57%",866,"0,11",Maximizar as conversões,"6,09%"
2026-03-23,Ativada,[PMAX]_bongo,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"69,97","0,13","41,08","1,70",27.062,532,"2,59","1,97%",464,"0,15",Maximizar as conversões,"7,72%"
2026-03-30,Ativada,[PMAX]_bongo,"10,00", --,Diário,Qualificado,desconhecido,"100,00",Performance Max,BRL,"19,97","0,11","15,52","1,29",6.590,177,"3,03","2,69%",142,"0,14",Maximizar as conversões,"8,77%"
2026-02-23,Ativada,[Pesquisa]_sportage,"10,00", --,Diário,Qualificado (limitado),desconhecido; limitado pelo orçamento,"99,90",Pesquisa,BRL,"9,07","0,43","0,00","0,00",815,21,"11,13","2,58%",21,"0,43",Maximizar as conversões,"0,00%"
