Relatório de campanha
1 de agosto de 2025 - 31 de agosto de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-07-28,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"44,70","0,16","33,03","1,35",4.117,284,"10,86","6,90%",248,"0,18"
2025-08-04,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"105,80","0,21","29,10","3,64",8.908,515,"11,88","5,78%",445,"0,24"
2025-08-11,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"105,34","0,18","27,04","3,90",9.931,579,"10,61","5,83%",494,"0,21"
2025-08-18,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"105,55","0,17","46,52","2,27",10.147,604,"10,40","5,95%",550,"0,19"
2025-08-25,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"95,32","0,15","38,89","2,45",10.816,657,"8,81","6,07%",586,"0,16"
2025-07-28,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"48,87","0,08","15,00","3,26",5.603,609,"8,72","10,87%",265,"0,18"
2025-08-04,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"102,55","0,11","22,01","4,66",12.930,952,"7,93","7,36%",449,"0,23"
2025-08-11,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"109,97","0,18","23,08","4,77",8.499,617,"12,94","7,26%",338,"0,33"
2025-08-18,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"101,30","0,11","31,06","3,26",13.254,932,"7,64","7,03%",431,"0,24"
2025-08-25,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"94,25","0,20","49,42","1,91",12.732,483,"7,40","3,79%",350,"0,27"
