Relatório de campanha
1 de dezembro de 2025 - 31 de dezembro de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-12-01,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Performance Max,BRL,"106,32","0,14","54,48","1,95",13.368,734,"7,95","5,49%",586,"0,18"
2025-12-08,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Performance Max,BRL,"105,71","0,15","57,50","1,84",13.119,718,"8,06","5,47%",559,"0,19"
2025-12-15,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Performance Max,BRL,"105,85","0,14","46,04","2,30",10.236,760,"10,34","7,42%",510,"0,21"
2025-12-22,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Performance Max,BRL,"98,66","0,12","64,84","1,52",12.320,842,"8,01","6,83%",623,"0,16"
2025-12-29,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Performance Max,BRL,"40,59","0,11","28,80","1,41",6.212,354,"6,53","5,70%",279,"0,15"
2025-12-01,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Performance Max,BRL,"106,60","0,23","46,00","2,32",9.502,458,"11,22","4,82%",365,"0,29"
2025-12-08,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Performance Max,BRL,"108,72","0,24","47,00","2,31",6.906,458,"15,74","6,63%",369,"0,29"
2025-12-15,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Performance Max,BRL,"97,23","0,15","32,02","3,04",8.209,659,"11,84","8,03%",432,"0,23"
2025-12-22,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Performance Max,BRL,"105,24","0,14","60,24","1,75",17.828,773,"5,90","4,34%",592,"0,18"
2025-12-29,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Performance Max,BRL,"39,44","0,15","15,13","2,61",6.336,258,"6,22","4,07%",212,"0,19"
