Relatório de campanha
1 de novembro de 2025 - 30 de novembro de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-10-27,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"30,36","0,10","3,00","10,12",2.949,319,"10,30","10,82%",177,"0,17"
2025-11-03,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"112,54","0,13","21,00","5,36",7.828,847,"14,38","10,82%",500,"0,23"
2025-11-10,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"75,01","0,13","24,33","3,08",5.113,558,"14,67","10,91%",347,"0,22"
2025-11-17,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"70,52","0,15","37,03","1,90",5.540,484,"12,73","8,74%",369,"0,19"
2025-11-24,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"90,46","0,18","34,45","2,63",9.921,514,"9,12","5,18%",460,"0,20"
2025-10-27,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"35,29","0,10","13,13","2,69",13.620,367,"2,59","2,69%",324,"0,11"
2025-11-03,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"106,01","0,15","34,00","3,12",31.604,727,"3,35","2,30%",683,"0,16"
2025-11-10,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"111,07","0,19","38,00","2,92",13.537,592,"8,20","4,37%",399,"0,28"
2025-11-17,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"107,23","0,17","39,21","2,73",22.828,643,"4,70","2,82%",544,"0,20"
2025-11-24,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"97,30","0,26","32,00","3,04",11.977,377,"8,12","3,15%",330,"0,29"
2025-10-27,Ativada,[Pesquisa]_niro,"10,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,BRL,"13,49","0,52","1,00","13,49",293,26,"46,03","8,87%",26,"0,52"
2025-11-03,Ativada,[Pesquisa]_niro,"10,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,BRL,"77,83","0,55","12,00","6,49",2.391,142,"32,55","5,94%",142,"0,55"
