Relatório de campanha
1 de outubro de 2025 - 31 de outubro de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-09-29,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"77,57","0,14","21,12","3,67",7.340,558,"10,57","7,60%",424,"0,18"
2025-10-06,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"104,78","0,16","34,84","3,01",8.710,663,"12,03","7,61%",502,"0,21"
2025-10-13,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"103,78","0,12","41,00","2,53",10.482,847,"9,90","8,08%",573,"0,18"
2025-10-20,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"105,17","0,14","61,00","1,72",10.542,768,"9,98","7,29%",593,"0,18"
2025-10-27,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"65,65","0,12","6,49","10,11",6.490,532,"10,12","8,20%",358,"0,18"
2025-09-29,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"74,93","0,13","34,14","2,19",22.344,575,"3,35","2,57%",389,"0,19"
2025-10-06,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"104,79","0,15","36,01","2,91",20.801,722,"5,04","3,47%",446,"0,23"
2025-10-13,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"107,02","0,09","34,99","3,06",55.831,1.193,"1,92","2,14%",963,"0,11"
2025-10-20,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"101,15","0,09","42,00","2,41",42.450,1.125,"2,38","2,65%",1.025,"0,10"
2025-10-27,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"62,95","0,13","24,38","2,58",15.880,483,"3,96","3,04%",400,"0,16"
2025-09-29,Ativada,[Pesquisa]_niro,"10,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,BRL,"45,35","0,34","6,00","7,56",3.324,133,"13,64","4,00%",133,"0,34"
2025-10-06,Ativada,[Pesquisa]_niro,"10,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,BRL,"64,64","0,34","9,00","7,18",3.690,192,"17,52","5,20%",192,"0,34"
2025-10-13,Ativada,[Pesquisa]_niro,"10,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,BRL,"63,67","0,37","11,50","5,54",1.978,174,"32,19","8,80%",174,"0,37"
2025-10-20,Ativada,[Pesquisa]_niro,"10,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,BRL,"82,17","0,52","12,00","6,85",2.212,159,"37,15","7,19%",159,"0,52"
2025-10-27,Ativada,[Pesquisa]_niro,"10,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,BRL,"37,57","0,36","11,00","3,42",947,105,"39,67","11,09%",105,"0,36"
2025-09-29,Ativada,[Pesquisa]_sportage,"9,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,BRL,"31,39","0,37","11,00","2,85",2.261,85,"13,88","3,76%",85,"0,37"
2025-10-06,Ativada,[Pesquisa]_sportage,"9,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,BRL,"90,89","0,65","8,00","11,36",3.363,140,"27,03","4,16%",140,"0,65"
2025-10-13,Ativada,[Pesquisa]_sportage,"9,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,BRL,"59,01","0,55","10,00","5,90",1.658,107,"35,59","6,45%",107,"0,55"
2025-10-20,Ativada,[Pesquisa]_sportage,"9,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,BRL,"81,19","0,49","10,67","7,61",3.688,165,"22,01","4,47%",165,"0,49"
2025-10-27,Ativada,[Pesquisa]_sportage,"9,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; desconhecido,Pesquisa,BRL,"41,74","0,30","11,00","3,79",3.074,137,"13,58","4,46%",137,"0,30"
2025-09-29,Ativada,[Pesquisa]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"70,38","0,79","4,85","14,50",3.132,89,"22,47","2,84%",89,"0,79"
2025-10-06,Ativada,[Pesquisa]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"88,83","0,73","6,00","14,81",3.243,121,"27,39","3,73%",121,"0,73"
2025-10-13,Ativada,[Pesquisa]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"110,69","1,12","5,00","22,14",1.794,99,"61,70","5,52%",99,"1,12"
2025-10-20,Ativada,[Pesquisa]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"93,84","0,82","4,00","23,46",1.603,114,"58,54","7,11%",114,"0,82"
