Relatório de campanha
1 de setembro de 2025 - 30 de setembro de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-09-01,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"111,92","0,13","43,00","2,60",11.967,845,"9,35","7,06%",581,"0,19"
2025-09-08,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"114,33","0,13","33,43","3,42",10.507,908,"10,88","8,64%",541,"0,21"
2025-09-15,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"103,78","0,12","43,48","2,39",10.590,862,"9,80","8,14%",608,"0,17"
2025-09-22,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"99,93","0,13","33,91","2,95",8.662,750,"11,54","8,66%",529,"0,19"
2025-09-29,Ativada,[PMAX]_sportage,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"27,35","0,15","11,00","2,49",2.367,187,"11,55","7,90%",142,"0,19"
2025-09-01,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"115,39","0,11","54,00","2,14",22.487,1.005,"5,13","4,47%",562,"0,21"
2025-09-08,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"108,92","0,17","52,02","2,09",13.813,659,"7,89","4,77%",392,"0,28"
2025-09-15,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"104,47","0,11","45,09","2,32",18.880,930,"5,53","4,93%",487,"0,21"
2025-09-22,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"95,99","0,13","41,33","2,32",28.389,732,"3,38","2,58%",482,"0,20"
2025-09-29,Ativada,[PMAX]_bongo,"15,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Performance Max,BRL,"30,43","0,19","17,00","1,79",5.560,158,"5,47","2,84%",126,"0,24"
