Relatório de campanha
1 de agosto de 2025 - 31 de agosto de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-07-28,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"0,00",0,"0,00","0,00",2,0,"0,00","0,00%",0,0
2025-08-04,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"28,19","0,29","3,00","9,40",2.110,96,"13,36","4,55%",96,"0,29"
2025-08-11,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"90,82","0,82","9,00","10,09",4.810,111,"18,88","2,31%",111,"0,82"
2025-08-18,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"51,47","0,53","6,00","8,58",6.076,97,"8,47","1,60%",97,"0,53"
2025-08-25,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"34,02","0,38","6,00","5,67",5.614,89,"6,06","1,59%",89,"0,38"
2025-07-28,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"3,22","0,21","0,00","0,00",302,15,"10,67","4,97%",11,"0,29"
2025-08-04,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"61,39","0,29","22,14","2,77",10.382,213,"5,91","2,05%",204,"0,30"
2025-08-11,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"56,17","0,16","60,00","0,94",7.175,354,"7,83","4,93%",348,"0,16"
2025-08-18,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"44,96","0,15","59,00","0,76",5.554,301,"8,09","5,42%",299,"0,15"
2025-08-25,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"48,23","0,17","37,00","1,30",5.128,288,"9,41","5,62%",279,"0,17"
2025-07-28,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"0,00",0,"0,00","0,00",8,0,"0,00","0,00%",0,0
2025-08-04,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"11,73","0,21","1,00","11,73",1.234,55,"9,50","4,46%",55,"0,21"
2025-08-11,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"12,26","0,20","0,00","0,00",1.764,60,"6,95","3,40%",60,"0,20"
2025-08-18,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"6,82","0,19","0,00","0,00",770,35,"8,86","4,55%",35,"0,19"
2025-08-25,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"4,69","0,21","0,00","0,00",334,22,"14,05","6,59%",22,"0,21"
2025-07-28,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"0,00",0,"0,00","0,00",2,0,"0,00","0,00%",0,0
2025-08-04,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"8,67","0,51","0,00","0,00",830,17,"10,45","2,05%",17,"0,51"
2025-08-11,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"24,00","0,55","2,00","12,00",2.453,44,"9,78","1,79%",44,"0,55"
2025-08-18,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"26,58","0,65","3,00","8,86",1.417,41,"18,76","2,89%",41,"0,65"
2025-08-25,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"54,18","1,15","4,00","13,55",2.381,47,"22,76","1,97%",47,"1,15"
2025-07-28,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"0,00",0,"0,00","0,00",3,0,"0,00","0,00%",0,0
2025-08-04,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"8,06","0,26","0,00","0,00",531,31,"15,18","5,84%",31,"0,26"
