Relatório de campanha
1 de dezembro de 2025 - 31 de dezembro de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-12-01,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"31,29","0,34","0,00","0,00",2.608,93,"12,00","3,57%",93,"0,34"
2025-12-08,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"64,51","0,45","0,00","0,00",2.764,144,"23,34","5,21%",144,"0,45"
2025-12-15,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"95,55","0,87","4,00","23,89",2.079,110,"45,96","5,29%",110,"0,87"
2025-12-22,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"38,65","0,67","4,00","9,66",1.242,58,"31,12","4,67%",58,"0,67"
2025-12-29,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"18,21","0,41","1,00","18,21",864,44,"21,07","5,09%",44,"0,41"
2025-12-01,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"277,07","0,24","161,50","1,72",18.767,1.133,"14,76","6,04%",1.060,"0,26"
2025-12-08,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"307,22","0,21","201,48","1,52",27.729,1.433,"11,08","5,17%",1.424,"0,22"
2025-12-15,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"265,88","0,23","180,00","1,48",21.402,1.158,"12,42","5,41%",1.156,"0,23"
2025-12-22,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"173,05","0,16","187,00","0,93",15.777,1.059,"10,97","6,71%",1.059,"0,16"
2025-12-29,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"186,06","0,17","212,01","0,88",20.140,1.111,"9,24","5,52%",1.111,"0,17"
2025-12-01,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"12,86","0,29","0,00","0,00",2.587,45,"4,97","1,74%",45,"0,29"
2025-12-08,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"27,61","0,45","0,00","0,00",3.109,61,"8,88","1,96%",61,"0,45"
2025-12-15,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"22,33","0,48","0,00","0,00",2.081,47,"10,73","2,26%",47,"0,48"
2025-12-22,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"15,20","0,38","0,00","0,00",1.775,40,"8,57","2,25%",40,"0,38"
2025-12-29,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"13,32","0,61","0,00","0,00",942,22,"14,14","2,34%",22,"0,61"
2025-12-01,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,Maximizar as conversões,Não qualificado,a maioria dos anúncios foi reprovada,Pesquisa,BRL,"63,11","0,97","7,00","9,02",674,65,"93,64","9,64%",65,"0,97"
2025-12-08,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,Maximizar as conversões,Não qualificado,a maioria dos anúncios foi reprovada,Pesquisa,BRL,"60,32","1,21","3,00","20,11",810,50,"74,47","6,17%",50,"1,21"
2025-12-15,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,Maximizar as conversões,Não qualificado,a maioria dos anúncios foi reprovada,Pesquisa,BRL,"66,90","1,24","2,00","33,45",788,54,"84,90","6,85%",54,"1,24"
2025-12-22,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,Maximizar as conversões,Não qualificado,a maioria dos anúncios foi reprovada,Pesquisa,BRL,"43,42","1,24","3,00","14,47",759,35,"57,21","4,61%",35,"1,24"
2025-12-29,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,Maximizar as conversões,Não qualificado,a maioria dos anúncios foi reprovada,Pesquisa,BRL,"40,98","1,05","1,00","40,98",647,39,"63,34","6,03%",39,"1,05"
2025-12-01,Ativada,[Pesquisa]_t-350,"6,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"46,49","1,06","4,50","10,33",272,44,"170,92","16,18%",44,"1,06"
2025-12-08,Ativada,[Pesquisa]_t-350,"6,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"38,02","1,00","4,00","9,51",303,38,"125,49","12,54%",38,"1,00"
2025-12-15,Ativada,[Pesquisa]_t-350,"6,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"40,94","0,91","2,00","20,47",247,45,"165,76","18,22%",45,"0,91"
2025-12-22,Ativada,[Pesquisa]_t-350,"6,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"24,54","0,82","0,00","0,00",277,30,"88,59","10,83%",30,"0,82"
2025-12-29,Ativada,[Pesquisa]_t-350,"6,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"20,86","0,91","1,00","20,86",242,23,"86,18","9,50%",23,"0,91"
2025-12-01,Ativada,[Pesquisa]_dr-160,"7,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"51,72","0,99","3,50","14,78",850,52,"60,85","6,12%",52,"0,99"
2025-12-08,Ativada,[Pesquisa]_dr-160,"7,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"47,64","0,56","9,00","5,29",1.418,85,"33,60","5,99%",85,"0,56"
2025-12-15,Ativada,[Pesquisa]_dr-160,"7,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"42,26","0,69","7,00","6,04",928,61,"45,54","6,57%",61,"0,69"
2025-12-22,Ativada,[Pesquisa]_dr-160,"7,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"36,95","0,82","2,00","18,47",409,45,"90,33","11,00%",45,"0,82"
2025-12-29,Ativada,[Pesquisa]_dr-160,"7,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"15,83","0,43","1,00","15,83",316,37,"50,09","11,71%",37,"0,43"
2025-12-01,Ativada,[Pesquisa]_gsx-8s,"5,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"35,84","1,38","2,00","17,92",291,26,"123,17","8,93%",26,"1,38"
2025-12-08,Ativada,[Pesquisa]_gsx-8s,"5,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"32,76","1,09","3,15","10,41",304,30,"107,77","9,87%",30,"1,09"
2025-12-15,Ativada,[Pesquisa]_gsx-8s,"5,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"31,01","0,82","6,00","5,17",355,38,"87,36","10,70%",38,"0,82"
2025-12-22,Ativada,[Pesquisa]_gsx-8s,"5,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"26,03","0,72","2,00","13,02",284,36,"91,67","12,68%",36,"0,72"
2025-12-29,Ativada,[Pesquisa]_gsx-8s,"5,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"13,76","0,63","1,00","13,76",234,22,"58,82","9,40%",22,"0,63"
 --,Total: Campanhas filtradas, --, --, --, --, --, --,, --,BRL,"2328,22","0,31","1.015,13","2,29",134.274,7.413,"17,34","5,52%",7.329,"0,32"
 --,Total: Campanhas filtradas, --, --, --, --, --, --,, --,BRL,0,0,0,0,0,0,0, --,0,0
 --,Total: Campanhas filtradas, --, --, --, --, --, --,, --, --,0,0,0,0,0,0,0, --,0,0
2025-12-01,Total: Campanhas filtradas, --, --, --, --, --, --,, --, --,0,0,0,0,0,0,0, --,0,0
2025-12-08,Total: Campanhas filtradas, --, --, --, --, --, --,, --, --,0,0,0,0,0,0,0, --,0,0
2025-12-15,Total: Campanhas filtradas, --, --, --, --, --, --,, --, --,0,0,0,0,0,0,0, --,0,0
2025-12-22,Total: Campanhas filtradas, --, --, --, --, --, --,, --, --,0,0,0,0,0,0,0, --,0,0
2025-12-29,Total: Campanhas filtradas, --, --, --, --, --, --,, --, --,0,0,0,0,0,0,0, --,0,0
 --,Total: Campanhas filtradas, --, --, --, --, --, --,, --, --,0,0,0,0,0,0,0, --,0,0
2025-12-01,Total: Campanhas filtradas, --, --, --, --, --, --,, --,BRL,"518,38","0,36","178,50","2,90",26.049,1.458,"19,90","5,60%",1.385,"0,37"
2025-12-08,Total: Campanhas filtradas, --, --, --, --, --, --,, --,BRL,"578,09","0,31","220,62","2,62",36.437,1.841,"15,87","5,05%",1.832,"0,32"
2025-12-15,Total: Campanhas filtradas, --, --, --, --, --, --,, --,BRL,"564,88","0,37","201,00","2,81",27.880,1.513,"20,26","5,43%",1.511,"0,37"
2025-12-22,Total: Campanhas filtradas, --, --, --, --, --, --,, --,BRL,"357,85","0,27","198,00","1,81",20.523,1.303,"17,44","6,35%",1.303,"0,27"
2025-12-29,Total: Campanhas filtradas, --, --, --, --, --, --,, --,BRL,"309,02","0,24","217,01","1,42",23.385,1.298,"13,21","5,55%",1.298,"0,24"
,Total: Conta,,,,,,,,,BRL,"2328,22","0,31","1.015,13","2,29",134.274,7.413,"17,34","5,52%",7.329,"0,32"
2025-12-01,Total: Conta,,,,,,,,,BRL,"518,38","0,36","178,50","2,90",26.049,1.458,"19,90","5,60%",1.385,"0,37"
2025-12-15,Total: Conta,,,,,,,,,BRL,"564,88","0,37","201,00","2,81",27.880,1.513,"20,26","5,43%",1.511,"0,37"
2025-12-29,Total: Conta,,,,,,,,,BRL,"309,02","0,24","217,01","1,42",23.385,1.298,"13,21","5,55%",1.298,"0,24"
2025-12-22,Total: Conta,,,,,,,,,BRL,"357,85","0,27","198,00","1,81",20.523,1.303,"17,44","6,35%",1.303,"0,27"
2025-12-08,Total: Conta,,,,,,,,,BRL,"578,09","0,31","220,62","2,62",36.437,1.841,"15,87","5,05%",1.832,"0,32"
,Total: Vídeo,,,,,,,,Vídeo,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
,Total: Pesquisa,,,,,,,,Pesquisa,BRL,"1118,93","0,74","73,15","15,30",30.459,1.519,"36,74","4,99%",1.519,"0,74"
,Total: Performance Max,,,,,,,,Performance Max,BRL,"1209,28","0,21","941,98","1,28",103.815,5.894,"11,65","5,68%",5.810,"0,21"
