Relatório de campanha
1 de fevereiro de 2026 - 28 de fevereiro de 2026
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2026-01-26,Pausada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Pausado,desconhecido; campanha pausada; desconhecido; desconhecido,Pesquisa,BRL,"4,60","0,58","0,00","0,00",95,8,"48,44","8,42%",8,"0,58"
2026-02-02,Pausada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Pausado,desconhecido; campanha pausada; desconhecido; desconhecido,Pesquisa,BRL,"71,99","0,52","9,00","8,00",2.612,138,"27,56","5,28%",138,"0,52"
2026-02-09,Pausada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Pausado,desconhecido; campanha pausada; desconhecido; desconhecido,Pesquisa,BRL,"61,33","0,61","2,00","30,66",1.952,100,"31,42","5,12%",100,"0,61"
2026-02-16,Pausada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Pausado,desconhecido; campanha pausada; desconhecido; desconhecido,Pesquisa,BRL,"4,51","0,64","0,00","0,00",123,7,"36,66","5,69%",7,"0,64"
2026-02-23,Pausada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Pausado,desconhecido; campanha pausada; desconhecido; desconhecido,Pesquisa,BRL,"12,11","1,35","0,00","0,00",154,9,"78,63","5,84%",9,"1,35"
2026-01-26,Ativada,[PMAX]_site,"50,00", --,Diário,Maximizar as conversões,Qualificado (limitado),desconhecido; limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política; desconhecido,Performance Max,BRL,"32,15","0,14","18,03","1,78",6.420,232,"5,01","3,61%",232,"0,14"
2026-02-02,Ativada,[PMAX]_site,"50,00", --,Diário,Maximizar as conversões,Qualificado (limitado),desconhecido; limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política; desconhecido,Performance Max,BRL,"353,43","0,20","223,81","1,58",40.188,1.742,"8,79","4,33%",1.738,"0,20"
2026-02-09,Ativada,[PMAX]_site,"50,00", --,Diário,Maximizar as conversões,Qualificado (limitado),desconhecido; limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política; desconhecido,Performance Max,BRL,"211,18","0,15","10,42","20,26",32.382,1.442,"6,52","4,45%",1.441,"0,15"
2026-02-16,Ativada,[PMAX]_site,"50,00", --,Diário,Maximizar as conversões,Qualificado (limitado),desconhecido; limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política; desconhecido,Performance Max,BRL,"281,64","1,03","2,00","140,82",8.790,273,"32,04","3,11%",273,"1,03"
2026-02-23,Ativada,[PMAX]_site,"50,00", --,Diário,Maximizar as conversões,Qualificado (limitado),desconhecido; limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política; desconhecido,Performance Max,BRL,"396,49","0,20","180,33","2,20",60.487,1.974,"6,55","3,26%",1.957,"0,20"
