Relatório de campanha
1 de janeiro de 2026 - 31 de janeiro de 2026
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-12-29,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"23,50","0,41","1,00","23,50",1.529,58,"15,37","3,79%",58,"0,41"
2026-01-05,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"76,27","0,86","12,00","6,36",2.583,89,"29,53","3,45%",89,"0,86"
2026-01-12,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"54,51","0,54","10,00","5,45",3.318,101,"16,43","3,04%",101,"0,54"
2026-01-19,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"49,38","0,58","2,00","24,68",1.682,85,"29,36","5,05%",85,"0,58"
2026-01-26,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"13,45","0,23","4,00","3,36",557,58,"24,15","10,41%",58,"0,23"
2025-12-29,Ativada,[PMAX]_site,"40,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política,Performance Max,"157,64","0,15","156,00","1,01",22.769,1.041,"6,92","4,57%",1.039,"0,15"
2026-01-05,Ativada,[PMAX]_site,"40,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política,Performance Max,"289,06","0,19","174,02","1,66",35.170,1.536,"8,22","4,37%",1.535,"0,19"
2026-01-12,Ativada,[PMAX]_site,"40,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política,Performance Max,"288,55","0,17","236,63","1,22",30.428,1.683,"9,48","5,53%",1.681,"0,17"
2026-01-19,Ativada,[PMAX]_site,"40,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política,Performance Max,"260,04","0,15","267,86","0,97",32.142,1.765,"8,09","5,49%",1.758,"0,15"
2026-01-26,Ativada,[PMAX]_site,"40,00", --,Diário,BRL,Maximizar as conversões,Qualificado (limitado),limitado pelo orçamento; a maioria dos grupos de recursos está limitada pela política,Performance Max,"150,70","0,16","78,31","1,92",31.944,957,"4,72","3,00%",957,"0,16"
