Relatório de campanha
1 de julho de 2025 - 31 de julho de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-06-30,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"90,51","0,70","16,00","5,66",8.589,130,"10,54","1,51%",130,"0,70"
2025-07-07,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"83,18","0,85","8,00","10,40",2.790,98,"29,81","3,51%",98,"0,85"
2025-07-14,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"73,68","0,71","5,50","13,40",2.296,104,"32,09","4,53%",104,"0,71"
2025-07-21,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"49,29","0,72","2,00","24,64",4.061,68,"12,14","1,67%",68,"0,72"
2025-07-28,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"3,93","0,66","0,00","0,00",198,6,"19,85","3,03%",6,"0,66"
2025-06-30,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"97,35","0,13","108,00","0,90",36.153,752,"2,69","2,08%",752,"0,13"
2025-07-07,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"113,17","0,14","139,00","0,81",18.479,836,"6,12","4,52%",821,"0,14"
2025-07-14,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"82,12","0,17","70,00","1,17",10.323,478,"7,96","4,63%",451,"0,18"
2025-07-21,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"45,93","0,11","87,00","0,53",7.313,435,"6,28","5,95%",433,"0,11"
2025-07-28,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"10,23","0,14","15,00","0,68",1.328,74,"7,70","5,57%",67,"0,15"
2025-06-30,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"18,65","0,25","1,00","18,65",3.228,76,"5,78","2,35%",76,"0,25"
2025-07-07,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"24,28","0,26","2,00","12,14",2.852,92,"8,51","3,23%",92,"0,26"
2025-07-14,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"20,66","0,27","2,00","10,33",1.658,77,"12,46","4,64%",77,"0,27"
2025-07-21,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"22,64","0,39","1,00","22,64",2.853,58,"7,94","2,03%",58,"0,39"
2025-07-28,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"4,02","0,40","0,00","0,00",528,10,"7,62","1,89%",10,"0,40"
2025-06-30,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"15,22","0,20","1,00","15,22",2.291,76,"6,64","3,32%",76,"0,20"
2025-07-07,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"19,73","0,20","1,00","19,73",3.592,100,"5,49","2,78%",100,"0,20"
2025-07-14,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"21,31","0,26","3,00","7,10",2.291,81,"9,30","3,54%",81,"0,26"
2025-07-21,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"18,55","0,20","2,00","9,28",3.790,93,"4,89","2,45%",93,"0,20"
2025-07-28,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"2,31","0,23","1,00","2,31",270,10,"8,55","3,70%",10,"0,23"
2025-06-30,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"11,69","0,62","1,00","11,69",826,19,"14,15","2,30%",19,"0,62"
2025-07-07,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"16,97","0,46","1,00","16,97",841,37,"20,18","4,40%",37,"0,46"
