Relatório de campanha
1 de junho de 2025 - 30 de junho de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-05-26,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"6,93","0,46","0,00","0,00",1.248,15,"5,55","1,20%",15,"0,46"
2025-06-02,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"33,27","0,83","0,00","0,00",2.069,40,"16,08","1,93%",40,"0,83"
2025-06-09,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"36,10","0,58","2,00","18,05",2.753,62,"13,11","2,25%",62,"0,58"
2025-06-16,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"46,81","0,88","7,00","6,69",2.012,53,"23,26","2,63%",53,"0,88"
2025-06-23,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"43,44","0,39","8,00","5,43",7.779,110,"5,58","1,41%",110,"0,39"
2025-06-30,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"14,00","0,56","3,00","4,67",1.733,25,"8,08","1,44%",25,"0,56"
2025-05-26,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"17,52","0,26","5,00","3,50",1.197,67,"14,63","5,60%",67,"0,26"
2025-06-02,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"58,53","0,24","32,00","1,83",5.913,244,"9,90","4,13%",242,"0,24"
2025-06-09,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"127,65","0,20","81,00","1,58",18.021,632,"7,08","3,51%",614,"0,21"
2025-06-16,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"124,08","0,17","109,50","1,13",24.132,729,"5,14","3,02%",725,"0,17"
