Relatório de campanha
1 de novembro de 2025 - 30 de novembro de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-10-27,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"9,86","0,66","2,00","4,93",682,15,"14,46","2,20%",15,"0,66"
2025-11-03,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"50,94","0,59","10,29","4,95",3.132,86,"16,27","2,75%",86,"0,59"
2025-11-10,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"42,82","0,54","2,00","21,41",3.505,80,"12,22","2,28%",80,"0,54"
2025-11-17,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"33,26","0,69","1,76","18,94",2.168,48,"15,34","2,21%",48,"0,69"
2025-11-24,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-10-27,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"40,49","0,17","35,04","1,16",7.456,237,"5,43","3,18%",233,"0,17"
2025-11-03,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"148,88","0,17","131,66","1,13",21.365,852,"6,97","3,99%",827,"0,18"
2025-11-10,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"146,68","0,14","180,57","0,81",20.867,1.076,"7,03","5,16%",1.047,"0,14"
2025-11-17,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"78,55","0,11","110,28","0,71",16.581,733,"4,74","4,42%",715,"0,11"
2025-11-24,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"0,48","0,03","0,00","0,00",80,16,"6,00","20,00%",4,"0,12"
2025-10-27,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"13,69","0,22","0,00","0,00",2.923,61,"4,68","2,09%",61,"0,22"
2025-11-03,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"50,20","0,31","0,00","0,00",7.750,163,"6,48","2,10%",163,"0,31"
2025-11-10,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"19,39","0,35","0,00","0,00",2.445,55,"7,93","2,25%",55,"0,35"
2025-11-17,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-11-24,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-10-27,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"8,46","0,28","0,00","0,00",1.182,30,"7,15","2,54%",30,"0,28"
2025-11-03,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"38,91","0,40","0,00","0,00",5.730,98,"6,79","1,71%",98,"0,40"
2025-11-10,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"0,82","0,82","0,00","0,00",63,1,"13,02","1,59%",1,"0,82"
