Relatório de campanha
1 de outubro de 2025 - 31 de outubro de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-09-29,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"12,87","0,43","5,24","2,45",1.121,30,"11,48","2,68%",30,"0,43"
2025-10-06,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"47,20","0,52","5,33","8,85",3.766,90,"12,53","2,39%",90,"0,52"
2025-10-13,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"35,04","0,61","0,00","0,00",1.789,57,"19,59","3,19%",57,"0,61"
2025-10-20,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"47,22","0,53","4,00","11,80",3.361,89,"14,05","2,65%",89,"0,53"
2025-10-27,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"39,14","0,77","6,84","5,72",1.478,51,"26,48","3,45%",51,"0,77"
2025-09-29,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"12,68","0,15","6,00","2,11",1.063,83,"11,93","7,81%",83,"0,15"
2025-10-06,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"70,71","0,21","55,00","1,29",8.209,336,"8,61","4,09%",325,"0,22"
2025-10-13,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"47,65","0,19","40,03","1,19",5.850,255,"8,14","4,36%",255,"0,19"
2025-10-20,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"115,80","0,16","111,30","1,04",18.293,723,"6,33","3,95%",705,"0,16"
2025-10-27,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"100,75","0,20","60,37","1,67",15.068,514,"6,69","3,41%",506,"0,20"
2025-09-29,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"4,69","0,18","0,00","0,00",236,26,"19,88","11,02%",26,"0,18"
2025-10-06,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"3,47","0,25","0,00","0,00",102,14,"34,02","13,73%",14,"0,25"
2025-10-13,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-10-20,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-10-27,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-09-29,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"17,10","0,29","0,00","0,00",1.975,59,"8,66","2,99%",59,"0,29"
2025-10-06,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"39,71","0,30","0,00","0,00",1.969,131,"20,17","6,65%",131,"0,30"
2025-10-13,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"42,49","0,38","4,00","10,62",2.731,111,"15,56","4,06%",111,"0,38"
