Relatório de campanha
1 de setembro de 2025 - 30 de setembro de 2025
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Código da moeda,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-09-01,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"33,49","0,61","6,00","5,58",3.633,55,"9,22","1,51%",55,"0,61"
2025-09-08,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"36,11","0,63","5,00","7,22",3.203,57,"11,28","1,78%",57,"0,63"
2025-09-15,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"39,19","0,61","3,00","13,06",4.525,64,"8,66","1,41%",64,"0,61"
2025-09-22,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"34,09","0,52","6,00","5,68",3.537,66,"9,64","1,87%",66,"0,52"
2025-09-29,Ativada,[Pesquisa]_v-strom-650-xt,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"9,53","0,95","0,50","19,05",425,10,"22,41","2,35%",10,"0,95"
2025-09-01,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"55,54","0,22","26,29","2,11",4.354,255,"12,76","5,86%",253,"0,22"
2025-09-08,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"46,23","0,22","29,29","1,58",3.837,212,"12,05","5,53%",211,"0,22"
2025-09-15,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"50,95","0,16","49,29","1,03",5.452,320,"9,35","5,87%",319,"0,16"
2025-09-22,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"48,33","0,19","39,00","1,24",4.763,255,"10,15","5,35%",253,"0,19"
2025-09-29,Ativada,[PMAX]_site,"40,00", --,Diário,Maximizar as conversões,Qualificado (limitado),a maioria dos grupos de recursos está limitada pela política,Performance Max,BRL,"12,41","0,16","15,00","0,83",951,76,"13,05","7,99%",76,"0,16"
2025-09-01,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"1,56","0,16","0,00","0,00",153,10,"10,19","6,54%",10,"0,16"
2025-09-08,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"0,09","0,09","0,00","0,00",11,1,"8,07","9,09%",1,"0,09"
2025-09-15,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"0,10","0,10","0,00","0,00",21,1,"4,77","4,76%",1,"0,10"
2025-09-22,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"1,72","0,11","0,00","0,00",107,15,"16,03","14,02%",15,"0,11"
2025-09-29,Pausada,[Pesquisa]_dk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"0,52","0,17","0,00","0,00",91,3,"5,69","3,30%",3,"0,17"
2025-09-01,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"45,45","1,47","4,00","11,36",1.358,31,"33,47","2,28%",31,"1,47"
2025-09-08,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"64,52","0,91","0,00","0,00",3.484,71,"18,52","2,04%",71,"0,91"
2025-09-15,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"68,40","0,96","2,00","34,20",5.062,71,"13,51","1,40%",71,"0,96"
2025-09-22,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"69,41","0,60","3,00","23,14",5.004,116,"13,87","2,32%",116,"0,60"
2025-09-29,Pausada,[Pesquisa]_nk-150,"10,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"10,68","0,67","0,00","0,00",621,16,"17,19","2,58%",16,"0,67"
2025-09-01,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"27,36","0,52","0,00","0,00",1.714,53,"15,96","3,09%",53,"0,52"
2025-09-08,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"29,50","0,64","0,00","0,00",2.294,46,"12,86","2,01%",46,"0,64"
2025-09-15,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"29,18","0,63","0,00","0,00",3.150,46,"9,26","1,46%",46,"0,63"
2025-09-22,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"27,83","0,90","0,00","0,00",2.331,31,"11,94","1,33%",31,"0,90"
2025-09-29,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"14,87","0,99","0,00","0,00",515,15,"28,87","2,91%",15,"0,99"
2025-09-01,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"62,86","0,76","3,00","20,95",2.055,83,"30,59","4,04%",83,"0,76"
2025-09-08,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"77,00","0,60","6,00","12,83",6.576,129,"11,71","1,96%",129,"0,60"
2025-09-15,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"74,85","1,15","5,00","14,97",2.046,65,"36,58","3,18%",65,"1,15"
2025-09-22,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"72,11","1,13","5,00","14,42",2.919,64,"24,70","2,19%",64,"1,13"
2025-09-29,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,BRL,"14,14","1,09","4,00","3,54",551,13,"25,67","2,36%",13,"1,09"
2025-09-01,Pausada,[Pesquisa]_v-350,"3,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"18,10","0,91","0,00","0,00",256,20,"70,71","7,81%",20,"0,91"
2025-09-08,Pausada,[Pesquisa]_v-350,"3,00", --,Diário,Maximizar as conversões,Pausado,campanha pausada; desconhecido,Pesquisa,BRL,"25,86","1,18","1,00","25,86",235,22,"110,02","9,36%",22,"1,18"
