"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Anúncios,Idade,Gênero,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Cliques no link","CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","CPC (todos)",Visualizações,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Orçamento da campanha","Tipo de orçamento da campanha","Início dos relatórios","Encerramento dos relatórios"
,,,,,,,,,,,,277882,1188711,4.27775459,BRL,10022.69,,5.09283028,1968,16359,2.07989999,8.43156158,0.61267131,0.40538303,1182769,,,,,2026-03-01,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS","AD Versatilidade - Bongo - Frete sem preço",277844195704332,6662637016215,6662637322615,6853552721615,"AD Versatilidade - Bongo - Frete sem preço",18-24,female,2026-03-31,4,7,1.75,BRL,0.04,"Clique de 7 dias ou visualização de 1 dia",,,,0,5.71428571,,0,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
"Conta Suzuki Sun Motors",CP02_gsx-8s_[inicio_01/01],"[Amanita] Suzuki - GSX-8S - Amplo","AD02 - GSX-8S",722911362773979,120211251061830599,120211847192070599,120211847192060599,"AD02 - GSX-8S",18-24,female,2026-03-31,8,8,1,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",,,,0,3.75,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD01_master_ride_img_[08/09],184629203219671,120231323193670298,120231323193700298,120231323193930298,AD01_master_ride_img_[08/09],18-24,female,2026-03-31,8,9,1.125,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",,,,0,3.33333333,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Suzuki Sun Motors",CP09_gsx-s1000+gsx-s1000-gx_[inicio_05/02],CJ01_gsx-s1000+gsx-s1000-gx_amplo,AD04_gsx-s1000-gx_img_[08/12],722911362773979,120239355257350599,120239355257340599,120239355257310599,AD04_gsx-s1000-gx_img_[08/12],18-24,female,2026-03-31,4,4,1,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",,,,0,5,,0,,"Using campaign budget",Daily,18,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP07_nk-150_[inicio_18/09],CJ01_nk150_amplo,AD08_nk150_img_[01/12],184629203219671,120231793936550298,120231793936530298,120236167397160298,AD08_nk150_img_[01/12],18-24,female,2026-03-31,25,31,1.24,BRL,0.17,"Clique de 7 dias ou visualização de 1 dia",,,,0,5.48387097,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP04_dr-160_[inicio_01/01],"[Amanita] Always On | DR160 - Amplo",AD07_dr160_img_[06/01],184629203219671,120218349708790298,120218349708850298,120237818342340298,AD07_dr160_img_[06/01],18-24,female,2026-03-31,150,185,1.23333333,BRL,1.2,"Clique de 7 dias ou visualização de 1 dia",,,,0,6.48648649,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD06_dk160_img_[06/01],184629203219671,120233157487530298,120233157487570298,120237818393430298,AD06_dk160_img_[06/01],18-24,female,2026-03-31,34,41,1.20588235,BRL,0.43,"Clique de 7 dias ou visualização de 1 dia",,,,0,10.48780488,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP05_dl-160_[inicio_01/01],"[Amanita] Always On | DL160 - Amplo",AD07_dl160_img_[08/01],184629203219671,120228417084420298,120228417084570298,120237922343140298,AD07_dl160_img_[08/01],18-24,female,2026-03-31,15,15,1,BRL,0.12,"Clique de 7 dias ou visualização de 1 dia",,,,0,8,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP05_t-350+t-350-x_[inicio_01/01],"[Amanita] Zontes - T350 e T350x - Amplo",AD06_t350_img_[13/01]_com_preco,7658357130952021,120224545259140714,120224545259250714,120238669666370714,AD06_t350_img_[13/01]_com_preco,18-24,female,2026-03-31,2,2,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
