"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Anúncios,Idade,Gênero,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Cliques no link","CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","CPC (todos)",Visualizações,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Orçamento da campanha","Tipo de orçamento da campanha","Início dos relatórios","Término dos relatórios"
,,,,,,,,,,,,304071,1231923,4.05143207,BRL,9957.29,,5.12206276,1944,17186,2.15459895,8.08272108,0.5793838,0.37513808,1229911,,,,,2026-02-01,2026-02-28
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS","AD Versatilidade - Bongo - Frete sem preço",277844195704332,6662637016215,6662637322615,6853552721615,"AD Versatilidade - Bongo - Frete sem preço",18-24,female,2026-02-28,11,16,1.45454545,BRL,0.1,"Clique de 7 dias ou visualização de 1 dia",,,1,6.25,6.25,0.1,0.1,,30,Daily,"Using ad set budget",,2026-02-28,2026-02-28
"Conta Suzuki Sun Motors",CP02_gsx-8s_[inicio_01/01],"[Amanita] Suzuki - GSX-8S - Amplo","AD02 - GSX-8S",722911362773979,120211251061830599,120211847192070599,120211847192060599,"AD02 - GSX-8S",18-24,female,2026-02-28,7,7,1,BRL,0.06,"Clique de 7 dias ou visualização de 1 dia",,,,0,8.57142857,,0,,"Using campaign budget",Daily,20,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD07_bongo_video_[19/02],277844195704332,6662637016215,6662637322615,6983267035215,AD07_bongo_video_[19/02],18-24,female,2026-02-28,3,5,1.66666667,BRL,0.02,"Clique de 7 dias ou visualização de 1 dia",,,,0,4,,0,,30,Daily,"Using ad set budget",,2026-02-28,2026-02-28
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD01_master_ride_img_[08/09],184629203219671,120231323193670298,120231323193700298,120231323193930298,AD01_master_ride_img_[08/09],18-24,female,2026-02-28,2,2,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,15,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CPE04_festival-seminovos_[inicio_11/02],CJE_amplo_seminovos_diversos,AD01_seminovos_img_[12/11],277844195704332,6980813028015,6980813028615,6980813028415,AD01_seminovos_img_[12/11],18-24,female,2026-02-28,1,1,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,20,Daily,2026-02-28,2026-02-28
"Conta Zontes",CP08_tactic-400_[inicio_30/11],CJ01_tactic400_Amplo,AD04_tactic400_img_[29/11],7658357130952021,120224545592140714,120224545592160714,120236521361910714,AD04_tactic400_img_[29/11],18-24,female,2026-02-28,13,15,1.15384615,BRL,0.06,"Clique de 7 dias ou visualização de 1 dia",,,,0,4,,0,,"Using campaign budget",Daily,8,Daily,2026-02-28,2026-02-28
"Conta Haojue Sun Motors",CP07_nk-150_[inicio_18/09],CJ01_nk150_amplo,AD08_nk150_img_[01/12],184629203219671,120231793936550298,120231793936530298,120236167397160298,AD08_nk150_img_[01/12],18-24,female,2026-02-28,12,22,1.83333333,BRL,0.11,"Clique de 7 dias ou visualização de 1 dia",,,,0,5,,0,,"Using campaign budget",Daily,15,Daily,2026-02-28,2026-02-28
"Conta Haojue Sun Motors",CP04_dr-160_[inicio_01/01],"[Amanita] Always On | DR160 - Amplo",AD07_dr160_img_[06/01],184629203219671,120218349708790298,120218349708850298,120237818342340298,AD07_dr160_img_[06/01],18-24,female,2026-02-28,171,190,1.11111111,BRL,0.95,"Clique de 7 dias ou visualização de 1 dia",,,1,0.52631579,5,0.95,0.95,,"Using campaign budget",Daily,25,Daily,2026-02-28,2026-02-28
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD06_dk160_img_[06/01],184629203219671,120233157487530298,120233157487570298,120237818393430298,AD06_dk160_img_[06/01],18-24,female,2026-02-28,58,68,1.17241379,BRL,0.2,"Clique de 7 dias ou visualização de 1 dia",,,,0,2.94117647,,0,,"Using campaign budget",Daily,15,Daily,2026-02-28,2026-02-28
