"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Anúncios,Idade,Gênero,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Cliques no link","CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","CPC (todos)",Visualizações,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Orçamento da campanha","Tipo de orçamento da campanha","Início dos relatórios","Término dos relatórios"
,,,,,,,,,,,,344127,1282150,3.72580472,BRL,9844.21,,4.85175456,2029,17289,2.17696837,7.6778926,0.56939152,0.35268737,1279634,,,,,2026-01-01,2026-01-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS","AD Versatilidade - Bongo - Frete sem preço",277844195704332,6662637016215,6662637322615,6853552721615,"AD Versatilidade - Bongo - Frete sem preço",18-24,female,2026-01-31,6,9,1.5,BRL,0.44,"Clique de 7 dias ou visualização de 1 dia",0.44,1,3,33.33333333,48.88888889,0.14666667,0.14666667,,30,Daily,"Using ad set budget",,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP04_dr-160_[inicio_01/01],"[Amanita] Always On | DR160 - Amplo","[Amanita] Always On Haojue - DR160 - card R$ 21.679",184629203219671,120218349708790298,120218349708850298,120223922271160298,"[Amanita] Always On Haojue - DR160 - card R$ 21.679",18-24,female,2026-01-31,78,91,1.16666667,BRL,0.46,"Clique de 7 dias ou visualização de 1 dia",,,1,1.0989011,5.05494505,0.46,0.46,,"Using campaign budget",Daily,25,Daily,2026-01-31,2026-01-31
"Conta Suzuki Sun Motors",CP02_gsx-8s_[inicio_01/01],"[Amanita] Suzuki - GSX-8S - Amplo","AD02 - GSX-8S",722911362773979,120211251061830599,120211847192070599,120211847192060599,"AD02 - GSX-8S",18-24,female,2026-01-31,4,4,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,2.5,,0,,"Using campaign budget",Daily,20,Daily,2026-01-31,2026-01-31
"Conta Zontes",CP08_tactic-400_[inicio_30/11],CJ01_tactic400_Amplo,AD04_tactic400_img_[29/11],7658357130952021,120224545592140714,120224545592160714,120236521361910714,AD04_tactic400_img_[29/11],18-24,female,2026-01-31,9,9,1,BRL,0.04,"Clique de 7 dias ou visualização de 1 dia",,,,0,4.44444444,,0,,"Using campaign budget",Daily,8,Daily,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP07_nk-150_[inicio_18/09],CJ01_nk150_amplo,AD08_nk150_img_[01/12],184629203219671,120231793936550298,120231793936530298,120236167397160298,AD08_nk150_img_[01/12],18-24,female,2026-01-31,4,4,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,2.5,,0,,"Using campaign budget",Daily,15,Daily,2026-01-31,2026-01-31
"Conta Suzuki Sun Motors",CP08_v-strom-650-xt_[inicio_24/11],CJ01_v-strom_650_amplo,AD02_v-strom_img_[08/12],722911362773979,120216828365640599,120216828365630599,120236637457530599,AD02_v-strom_img_[08/12],18-24,female,2026-01-31,2,2,1,BRL,0.01,"Clique de 7 dias ou visualização de 1 dia",,,,0,5,,0,,"Using campaign budget",Daily,8,Daily,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP04_dr-160_[inicio_01/01],"[Amanita] Always On | DR160 - Amplo",AD07_dr160_img_[06/01],184629203219671,120218349708790298,120218349708850298,120237818342340298,AD07_dr160_img_[06/01],18-24,female,2026-01-31,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,25,Daily,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD06_dk160_img_[06/01],184629203219671,120233157487530298,120233157487570298,120237818393430298,AD06_dk160_img_[06/01],18-24,female,2026-01-31,48,54,1.125,BRL,0.16,"Clique de 7 dias ou visualização de 1 dia",,,,0,2.96296296,,0,,"Using campaign budget",Daily,15,Daily,2026-01-31,2026-01-31
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD09_master_ride_img_[06/01],184629203219671,120231323193670298,120231323193700298,120237818457510298,AD09_master_ride_img_[06/01],18-24,female,2026-01-31,17,19,1.11764706,BRL,0.15,"Clique de 7 dias ou visualização de 1 dia",,,1,5.26315789,7.89473684,0.15,0.15,,"Using campaign budget",Daily,15,Daily,2026-01-31,2026-01-31
